accession_name,species_name,population_name
DS11-02003,Glycine max,NAM
DS11-02005,Glycine max,NAM
DS11-02006,Glycine max,NAM
DS11-02007,Glycine max,NAM
DS11-02014,Glycine max,NAM
DS11-02017,Glycine max,NAM
DS11-02019,Glycine max,NAM
DS11-02022,Glycine max,NAM
DS11-02023,Glycine max,NAM
DS11-02024,Glycine max,NAM
DS11-02025,Glycine max,NAM
DS11-02026,Glycine max,NAM
DS11-02027,Glycine max,NAM
DS11-02029,Glycine max,NAM
DS11-02030,Glycine max,NAM
DS11-02031,Glycine max,NAM
DS11-02032,Glycine max,NAM
DS11-02033,Glycine max,NAM
DS11-02035,Glycine max,NAM
DS11-02036,Glycine max,NAM
DS11-02037,Glycine max,NAM
DS11-02038,Glycine max,NAM
DS11-02040,Glycine max,NAM
DS11-02042,Glycine max,NAM
DS11-02043,Glycine max,NAM
DS11-02044,Glycine max,NAM
DS11-02047,Glycine max,NAM
DS11-02049,Glycine max,NAM
DS11-02051,Glycine max,NAM
DS11-02054,Glycine max,NAM
DS11-02057,Glycine max,NAM
DS11-02059,Glycine max,NAM
DS11-02061,Glycine max,NAM
DS11-02063,Glycine max,NAM
DS11-02064,Glycine max,NAM
DS11-02065,Glycine max,NAM
DS11-02066,Glycine max,NAM
DS11-02069,Glycine max,NAM
DS11-02070,Glycine max,NAM
DS11-02071,Glycine max,NAM
DS11-02078,Glycine max,NAM
DS11-02080,Glycine max,NAM
DS11-02086,Glycine max,NAM
DS11-02089,Glycine max,NAM
DS11-02091,Glycine max,NAM
DS11-02093,Glycine max,NAM
DS11-02095,Glycine max,NAM
DS11-02098,Glycine max,NAM
DS11-02099,Glycine max,NAM
DS11-02108,Glycine max,NAM
DS11-02113,Glycine max,NAM
DS11-02115,Glycine max,NAM
DS11-02118,Glycine max,NAM
DS11-02120,Glycine max,NAM
DS11-02121,Glycine max,NAM
DS11-02123,Glycine max,NAM
DS11-02127,Glycine max,NAM
DS11-02129,Glycine max,NAM
DS11-02131,Glycine max,NAM
DS11-02132,Glycine max,NAM
DS11-02133,Glycine max,NAM
DS11-02135,Glycine max,NAM
DS11-02140,Glycine max,NAM
DS11-02141,Glycine max,NAM
DS11-02142,Glycine max,NAM
DS11-02143,Glycine max,NAM
DS11-02149,Glycine max,NAM
DS11-02150,Glycine max,NAM
DS11-02151,Glycine max,NAM
DS11-02152,Glycine max,NAM
DS11-02154,Glycine max,NAM
DS11-02155,Glycine max,NAM
DS11-02156,Glycine max,NAM
DS11-02157,Glycine max,NAM
DS11-02158,Glycine max,NAM
DS11-02159,Glycine max,NAM
DS11-02161,Glycine max,NAM
DS11-02162,Glycine max,NAM
DS11-02163,Glycine max,NAM
DS11-02164,Glycine max,NAM
DS11-02165,Glycine max,NAM
DS11-02166,Glycine max,NAM
DS11-02167,Glycine max,NAM
DS11-02168,Glycine max,NAM
DS11-02169,Glycine max,NAM
DS11-02173,Glycine max,NAM
DS11-02174,Glycine max,NAM
DS11-02177,Glycine max,NAM
DS11-02178,Glycine max,NAM
DS11-02180,Glycine max,NAM
DS11-02181,Glycine max,NAM
DS11-02182,Glycine max,NAM
DS11-02183,Glycine max,NAM
DS11-02186,Glycine max,NAM
DS11-02187,Glycine max,NAM
DS11-02188,Glycine max,NAM
DS11-02190,Glycine max,NAM
DS11-02191,Glycine max,NAM
Parent_IA3023,Glycine max,NAM
TN05-3027,Glycine max,NAM
X4J105-3-4,Glycine max,NAM
DS11-03003,Glycine max,NAM
DS11-03004,Glycine max,NAM
DS11-03005,Glycine max,NAM
DS11-03006,Glycine max,NAM
DS11-03007,Glycine max,NAM
DS11-03008,Glycine max,NAM
DS11-03009,Glycine max,NAM
DS11-03010,Glycine max,NAM
DS11-03011,Glycine max,NAM
DS11-03012,Glycine max,NAM
DS11-03013,Glycine max,NAM
DS11-03014,Glycine max,NAM
DS11-03015,Glycine max,NAM
DS11-03016,Glycine max,NAM
DS11-03017,Glycine max,NAM
DS11-03018,Glycine max,NAM
DS11-03019,Glycine max,NAM
DS11-03020,Glycine max,NAM
DS11-03021,Glycine max,NAM
DS11-03022,Glycine max,NAM
DS11-03023,Glycine max,NAM
DS11-03024,Glycine max,NAM
DS11-03025,Glycine max,NAM
DS11-03026,Glycine max,NAM
DS11-03027,Glycine max,NAM
DS11-03029,Glycine max,NAM
DS11-03030,Glycine max,NAM
DS11-03031,Glycine max,NAM
DS11-03032,Glycine max,NAM
DS11-03034,Glycine max,NAM
DS11-03036,Glycine max,NAM
DS11-03037,Glycine max,NAM
DS11-03038,Glycine max,NAM
DS11-03039,Glycine max,NAM
DS11-03041,Glycine max,NAM
DS11-03044,Glycine max,NAM
DS11-03045,Glycine max,NAM
DS11-03047,Glycine max,NAM
DS11-03048,Glycine max,NAM
DS11-03050,Glycine max,NAM
DS11-03052,Glycine max,NAM
DS11-03055,Glycine max,NAM
DS11-03057,Glycine max,NAM
DS11-03058,Glycine max,NAM
DS11-03059,Glycine max,NAM
DS11-03064,Glycine max,NAM
DS11-03065,Glycine max,NAM
DS11-03066,Glycine max,NAM
DS11-03067,Glycine max,NAM
DS11-03070,Glycine max,NAM
DS11-03071,Glycine max,NAM
DS11-03072,Glycine max,NAM
DS11-03074,Glycine max,NAM
DS11-03075,Glycine max,NAM
DS11-03076,Glycine max,NAM
DS11-03077,Glycine max,NAM
DS11-03078,Glycine max,NAM
DS11-03079,Glycine max,NAM
DS11-03080,Glycine max,NAM
DS11-03081,Glycine max,NAM
DS11-03082,Glycine max,NAM
DS11-03083,Glycine max,NAM
DS11-03084,Glycine max,NAM
DS11-03085,Glycine max,NAM
DS11-03086,Glycine max,NAM
DS11-03088,Glycine max,NAM
DS11-03089,Glycine max,NAM
DS11-03104,Glycine max,NAM
DS11-03106,Glycine max,NAM
DS11-03108,Glycine max,NAM
DS11-03109,Glycine max,NAM
DS11-03110,Glycine max,NAM
DS11-03111,Glycine max,NAM
DS11-03112,Glycine max,NAM
DS11-03113,Glycine max,NAM
DS11-03115,Glycine max,NAM
DS11-03116,Glycine max,NAM
DS11-03119,Glycine max,NAM
DS11-03120,Glycine max,NAM
DS11-03122,Glycine max,NAM
DS11-03123,Glycine max,NAM
DS11-03124,Glycine max,NAM
DS11-03126,Glycine max,NAM
DS11-03128,Glycine max,NAM
DS11-03129,Glycine max,NAM
DS11-03130,Glycine max,NAM
DS11-03131,Glycine max,NAM
DS11-03132,Glycine max,NAM
DS11-03133,Glycine max,NAM
DS11-03134,Glycine max,NAM
DS11-03135,Glycine max,NAM
DS11-03138,Glycine max,NAM
DS11-03142,Glycine max,NAM
DS11-03143,Glycine max,NAM
DS11-03144,Glycine max,NAM
DS11-03145,Glycine max,NAM
DS11-03147,Glycine max,NAM
DS11-03148,Glycine max,NAM
DS11-03149,Glycine max,NAM
DS11-03151,Glycine max,NAM
DS11-03154,Glycine max,NAM
DS11-03157,Glycine max,NAM
DS11-03158,Glycine max,NAM
DS11-03160,Glycine max,NAM
DS11-03161,Glycine max,NAM
DS11-03162,Glycine max,NAM
DS11-03163,Glycine max,NAM
DS11-03164,Glycine max,NAM
DS11-03165,Glycine max,NAM
DS11-03166,Glycine max,NAM
DS11-03168,Glycine max,NAM
DS11-03169,Glycine max,NAM
DS11-03170,Glycine max,NAM
DS11-03171,Glycine max,NAM
DS11-03172,Glycine max,NAM
DS11-03173,Glycine max,NAM
DS11-03174,Glycine max,NAM
DS11-03175,Glycine max,NAM
DS11-03176,Glycine max,NAM
DS11-03177,Glycine max,NAM
DS11-03178,Glycine max,NAM
DS11-03180,Glycine max,NAM
DS11-03181,Glycine max,NAM
DS11-03183,Glycine max,NAM
DS11-03185,Glycine max,NAM
DS11-03186,Glycine max,NAM
DS11-03188,Glycine max,NAM
DS11-03189,Glycine max,NAM
DS11-03190,Glycine max,NAM
DS11-03195,Glycine max,NAM
DS11-03196,Glycine max,NAM
DS11-03197,Glycine max,NAM
DS11-03198,Glycine max,NAM
DS11-03199,Glycine max,NAM
DS11-03200,Glycine max,NAM
DS11-03202,Glycine max,NAM
DS11-03203,Glycine max,NAM
X5M20-2-5-2,Glycine max,NAM
DS11-04002,Glycine max,NAM
DS11-04003,Glycine max,NAM
DS11-04006,Glycine max,NAM
DS11-04007,Glycine max,NAM
DS11-04008,Glycine max,NAM
DS11-04009,Glycine max,NAM
DS11-04010,Glycine max,NAM
DS11-04012,Glycine max,NAM
DS11-04013,Glycine max,NAM
DS11-04015,Glycine max,NAM
DS11-04016,Glycine max,NAM
DS11-04017,Glycine max,NAM
DS11-04023,Glycine max,NAM
DS11-04027,Glycine max,NAM
DS11-04028,Glycine max,NAM
DS11-04029,Glycine max,NAM
DS11-04030,Glycine max,NAM
DS11-04032,Glycine max,NAM
DS11-04033,Glycine max,NAM
DS11-04035,Glycine max,NAM
DS11-04036,Glycine max,NAM
DS11-04037,Glycine max,NAM
DS11-04039,Glycine max,NAM
DS11-04040,Glycine max,NAM
DS11-04041,Glycine max,NAM
DS11-04043,Glycine max,NAM
DS11-04044,Glycine max,NAM
DS11-04045,Glycine max,NAM
DS11-04047,Glycine max,NAM
DS11-04048,Glycine max,NAM
DS11-04049,Glycine max,NAM
DS11-04050,Glycine max,NAM
DS11-04051,Glycine max,NAM
DS11-04053,Glycine max,NAM
DS11-04054,Glycine max,NAM
DS11-04055,Glycine max,NAM
DS11-04056,Glycine max,NAM
DS11-04058,Glycine max,NAM
DS11-04059,Glycine max,NAM
DS11-04060,Glycine max,NAM
DS11-04061,Glycine max,NAM
DS11-04062,Glycine max,NAM
DS11-04063,Glycine max,NAM
DS11-04064,Glycine max,NAM
DS11-04068,Glycine max,NAM
DS11-04069,Glycine max,NAM
DS11-04072,Glycine max,NAM
DS11-04073,Glycine max,NAM
DS11-04074,Glycine max,NAM
DS11-04075,Glycine max,NAM
DS11-04078,Glycine max,NAM
DS11-04079,Glycine max,NAM
DS11-04080,Glycine max,NAM
DS11-04082,Glycine max,NAM
DS11-04084,Glycine max,NAM
DS11-04085,Glycine max,NAM
DS11-04089,Glycine max,NAM
DS11-04090,Glycine max,NAM
DS11-04091,Glycine max,NAM
DS11-04092,Glycine max,NAM
DS11-04094,Glycine max,NAM
DS11-04095,Glycine max,NAM
DS11-04096,Glycine max,NAM
DS11-04097,Glycine max,NAM
DS11-04098,Glycine max,NAM
DS11-04099,Glycine max,NAM
DS11-04100,Glycine max,NAM
DS11-04101,Glycine max,NAM
DS11-04104,Glycine max,NAM
DS11-04112,Glycine max,NAM
DS11-04114,Glycine max,NAM
DS11-04115,Glycine max,NAM
DS11-04116,Glycine max,NAM
DS11-04119,Glycine max,NAM
DS11-04120,Glycine max,NAM
DS11-04121,Glycine max,NAM
DS11-04122,Glycine max,NAM
DS11-04124,Glycine max,NAM
DS11-04127,Glycine max,NAM
DS11-04129,Glycine max,NAM
DS11-04130,Glycine max,NAM
DS11-04132,Glycine max,NAM
DS11-04133,Glycine max,NAM
DS11-04135,Glycine max,NAM
DS11-04137,Glycine max,NAM
DS11-04138,Glycine max,NAM
DS11-04140,Glycine max,NAM
DS11-04142,Glycine max,NAM
DS11-04143,Glycine max,NAM
DS11-04145,Glycine max,NAM
DS11-04146,Glycine max,NAM
DS11-04147,Glycine max,NAM
DS11-04148,Glycine max,NAM
DS11-04149,Glycine max,NAM
DS11-04152,Glycine max,NAM
DS11-04153,Glycine max,NAM
DS11-04155,Glycine max,NAM
DS11-04156,Glycine max,NAM
DS11-04157,Glycine max,NAM
DS11-04158,Glycine max,NAM
DS11-04160,Glycine max,NAM
DS11-04162,Glycine max,NAM
DS11-04163,Glycine max,NAM
DS11-04164,Glycine max,NAM
DS11-04165,Glycine max,NAM
DS11-04167,Glycine max,NAM
DS11-04168,Glycine max,NAM
DS11-04169,Glycine max,NAM
DS11-04170,Glycine max,NAM
DS11-04171,Glycine max,NAM
DS11-04172,Glycine max,NAM
DS11-04173,Glycine max,NAM
DS11-04174,Glycine max,NAM
DS11-04175,Glycine max,NAM
DS11-04177,Glycine max,NAM
DS11-04178,Glycine max,NAM
DS11-04179,Glycine max,NAM
DS11-04181,Glycine max,NAM
DS11-04184,Glycine max,NAM
DS11-04185,Glycine max,NAM
DS11-04187,Glycine max,NAM
DS11-04191,Glycine max,NAM
DS11-04192,Glycine max,NAM
DS11-04194,Glycine max,NAM
DS11-04195,Glycine max,NAM
DS11-04201,Glycine max,NAM
DS11-04204,Glycine max,NAM
DS11-04206,Glycine max,NAM
DS11-04207,Glycine max,NAM
DS11-04208,Glycine max,NAM
DS11-04211,Glycine max,NAM
DS11-04212,Glycine max,NAM
DS11-04214,Glycine max,NAM
DS11-04222,Glycine max,NAM
DS11-04223,Glycine max,NAM
DS11-04225,Glycine max,NAM
CL0J095-4-6,Glycine max,NAM
DS11-05001,Glycine max,NAM
DS11-05002,Glycine max,NAM
DS11-05004,Glycine max,NAM
DS11-05006,Glycine max,NAM
DS11-05007,Glycine max,NAM
DS11-05008,Glycine max,NAM
DS11-05009,Glycine max,NAM
DS11-05010,Glycine max,NAM
DS11-05011,Glycine max,NAM
DS11-05012,Glycine max,NAM
DS11-05013,Glycine max,NAM
DS11-05015,Glycine max,NAM
DS11-05016,Glycine max,NAM
DS11-05017,Glycine max,NAM
DS11-05018,Glycine max,NAM
DS11-05021,Glycine max,NAM
DS11-05023,Glycine max,NAM
DS11-05025,Glycine max,NAM
DS11-05027,Glycine max,NAM
DS11-05028,Glycine max,NAM
DS11-05029,Glycine max,NAM
DS11-05030,Glycine max,NAM
DS11-05035,Glycine max,NAM
DS11-05036,Glycine max,NAM
DS11-05037,Glycine max,NAM
DS11-05039,Glycine max,NAM
DS11-05040,Glycine max,NAM
DS11-05041,Glycine max,NAM
DS11-05042,Glycine max,NAM
DS11-05043,Glycine max,NAM
DS11-05044,Glycine max,NAM
DS11-05046,Glycine max,NAM
DS11-05047,Glycine max,NAM
DS11-05048,Glycine max,NAM
DS11-05049,Glycine max,NAM
DS11-05052,Glycine max,NAM
DS11-05053,Glycine max,NAM
DS11-05055,Glycine max,NAM
DS11-05056,Glycine max,NAM
DS11-05058,Glycine max,NAM
DS11-05059,Glycine max,NAM
DS11-05061,Glycine max,NAM
DS11-05063,Glycine max,NAM
DS11-05064,Glycine max,NAM
DS11-05066,Glycine max,NAM
DS11-05067,Glycine max,NAM
DS11-05068,Glycine max,NAM
DS11-05069,Glycine max,NAM
DS11-05071,Glycine max,NAM
DS11-05072,Glycine max,NAM
DS11-05074,Glycine max,NAM
DS11-05075,Glycine max,NAM
DS11-05076,Glycine max,NAM
DS11-05078,Glycine max,NAM
DS11-05079,Glycine max,NAM
DS11-05080,Glycine max,NAM
DS11-05081,Glycine max,NAM
DS11-05083,Glycine max,NAM
DS11-05084,Glycine max,NAM
DS11-05085,Glycine max,NAM
DS11-05086,Glycine max,NAM
DS11-05089,Glycine max,NAM
DS11-05090,Glycine max,NAM
DS11-05091,Glycine max,NAM
DS11-05093,Glycine max,NAM
DS11-05094,Glycine max,NAM
DS11-05095,Glycine max,NAM
DS11-05096,Glycine max,NAM
DS11-05098,Glycine max,NAM
DS11-05108,Glycine max,NAM
DS11-05110,Glycine max,NAM
DS11-05111,Glycine max,NAM
DS11-05113,Glycine max,NAM
DS11-05114,Glycine max,NAM
DS11-05117,Glycine max,NAM
DS11-05118,Glycine max,NAM
DS11-05119,Glycine max,NAM
DS11-05121,Glycine max,NAM
DS11-05122,Glycine max,NAM
DS11-05123,Glycine max,NAM
DS11-05124,Glycine max,NAM
DS11-05125,Glycine max,NAM
DS11-05126,Glycine max,NAM
DS11-05127,Glycine max,NAM
DS11-05128,Glycine max,NAM
DS11-05129,Glycine max,NAM
DS11-05130,Glycine max,NAM
DS11-05133,Glycine max,NAM
DS11-05134,Glycine max,NAM
DS11-05135,Glycine max,NAM
DS11-05136,Glycine max,NAM
DS11-05137,Glycine max,NAM
DS11-05138,Glycine max,NAM
DS11-05139,Glycine max,NAM
DS11-05140,Glycine max,NAM
DS11-05141,Glycine max,NAM
DS11-05142,Glycine max,NAM
DS11-05143,Glycine max,NAM
DS11-05145,Glycine max,NAM
DS11-05146,Glycine max,NAM
DS11-05147,Glycine max,NAM
DS11-05148,Glycine max,NAM
DS11-05149,Glycine max,NAM
DS11-05150,Glycine max,NAM
DS11-05151,Glycine max,NAM
DS11-05152,Glycine max,NAM
DS11-05153,Glycine max,NAM
DS11-05155,Glycine max,NAM
DS11-05156,Glycine max,NAM
DS11-05157,Glycine max,NAM
DS11-05158,Glycine max,NAM
DS11-05160,Glycine max,NAM
DS11-05165,Glycine max,NAM
DS11-05166,Glycine max,NAM
DS11-05169,Glycine max,NAM
DS11-05170,Glycine max,NAM
DS11-05171,Glycine max,NAM
DS11-05172,Glycine max,NAM
DS11-05173,Glycine max,NAM
DS11-05174,Glycine max,NAM
DS11-05175,Glycine max,NAM
DS11-05177,Glycine max,NAM
DS11-05180,Glycine max,NAM
DS11-05182,Glycine max,NAM
DS11-05183,Glycine max,NAM
DS11-05184,Glycine max,NAM
DS11-05185,Glycine max,NAM
DS11-05187,Glycine max,NAM
DS11-05188,Glycine max,NAM
DS11-05189,Glycine max,NAM
DS11-05190,Glycine max,NAM
DS11-05191,Glycine max,NAM
DS11-05196,Glycine max,NAM
DS11-05197,Glycine max,NAM
DS11-05198,Glycine max,NAM
DS11-05202,Glycine max,NAM
DS11-05203,Glycine max,NAM
DS11-05204,Glycine max,NAM
DS11-05205,Glycine max,NAM
CL0J173-6-8,Glycine max,NAM
DS11-06001,Glycine max,NAM
DS11-06002,Glycine max,NAM
DS11-06003,Glycine max,NAM
DS11-06004,Glycine max,NAM
DS11-06005,Glycine max,NAM
DS11-06006,Glycine max,NAM
DS11-06007,Glycine max,NAM
DS11-06008,Glycine max,NAM
DS11-06009,Glycine max,NAM
DS11-06010,Glycine max,NAM
DS11-06011,Glycine max,NAM
DS11-06012,Glycine max,NAM
DS11-06014,Glycine max,NAM
DS11-06015,Glycine max,NAM
DS11-06016,Glycine max,NAM
DS11-06017,Glycine max,NAM
DS11-06019,Glycine max,NAM
DS11-06020,Glycine max,NAM
DS11-06022,Glycine max,NAM
DS11-06026,Glycine max,NAM
DS11-06027,Glycine max,NAM
DS11-06028,Glycine max,NAM
DS11-06029,Glycine max,NAM
DS11-06030,Glycine max,NAM
DS11-06031,Glycine max,NAM
DS11-06032,Glycine max,NAM
DS11-06035,Glycine max,NAM
DS11-06036,Glycine max,NAM
DS11-06037,Glycine max,NAM
DS11-06041,Glycine max,NAM
DS11-06042,Glycine max,NAM
DS11-06044,Glycine max,NAM
DS11-06046,Glycine max,NAM
DS11-06047,Glycine max,NAM
DS11-06048,Glycine max,NAM
DS11-06049,Glycine max,NAM
DS11-06050,Glycine max,NAM
DS11-06051,Glycine max,NAM
DS11-06052,Glycine max,NAM
DS11-06053,Glycine max,NAM
DS11-06054,Glycine max,NAM
DS11-06056,Glycine max,NAM
DS11-06059,Glycine max,NAM
DS11-06061,Glycine max,NAM
DS11-06062,Glycine max,NAM
DS11-06063,Glycine max,NAM
DS11-06064,Glycine max,NAM
DS11-06065,Glycine max,NAM
DS11-06068,Glycine max,NAM
DS11-06069,Glycine max,NAM
DS11-06070,Glycine max,NAM
DS11-06071,Glycine max,NAM
DS11-06072,Glycine max,NAM
DS11-06073,Glycine max,NAM
DS11-06074,Glycine max,NAM
DS11-06078,Glycine max,NAM
DS11-06080,Glycine max,NAM
DS11-06081,Glycine max,NAM
DS11-06082,Glycine max,NAM
DS11-06083,Glycine max,NAM
DS11-06085,Glycine max,NAM
DS11-06086,Glycine max,NAM
DS11-06087,Glycine max,NAM
DS11-06088,Glycine max,NAM
