x,
1,62.13820728
2,55.82307397
3,61.83288662
4,55.34125369
5,59.01272108
6,54.96462017
7,59.95893281
8,61.87452947
9,59.24726899
10,55.83654262
11,58.56765277
12,57.58320903
13,55.35752761
14,58.66534315
15,54.83383004
16,55.6109127
17,54.02406152
18,57.87637196
19,55.15353458
20,57.79861205
21,57.60187792
22,65.23329139
23,56.9800426
24,56.84371324
25,55.11709749
26,59.40840966
27,61.28840966
28,58.2949414
29,58.4681902
30,57.32800489
31,59.51272108
32,53.59351085
33,59.40044737
34,57.52092211
35,56.93702123
36,54.23310608
37,58.61941837
38,55.08871231
39,56.92234127
40,55.4023682
41,61.26957482
42,64.31064975
43,63.38451956
44,62.47718149
45,60.39351085
46,64.68962075
47,62.68554856
48,49.21038832
49,62.3749414
50,60.27167553
51,51.78369723
52,51.26642248
53,52.93894276
54,54.25519485
55,53.49765096
56,54.35943033
57,59.49795728
58,55.67455084
59,56.69145607
60,55.2761525
61,48.21084075
62,51.75295634
63,51.37209162
64,53.78186885
65,55.46338768
66,52.46641992
67,52.55060532
68,53.48711766
69,53.47677281
70,56.24105481
71,56.35768399
72,52.80268403
73,51.73456851
74,56.29144212
75,54.17787536
76,51.25781036
77,57.246713
78,55.9879435
79,54.44709851
80,54.35686426
81,53.79856443
82,50.60149969
83,54.69014677
84,51.46578788
85,49.18122315
86,53.31195852
87,55.8506056
88,47.93899969
89,52.44282905
90,55.24308203
91,56.73950565
92,58.27195917
93,57.11399969
94,56.97903382
95,55.51157039
96,56.8309862
97,58.50824849
98,57.71295957
99,55.30446396
100,54.21774483
101,57.65542138
102,58.59031163
103,55.08078854
104,55.58030389
105,52.83008699
106,57.44252959
107,55.1505993
108,57.51303026
109,58.31041601
110,52.48859802
111,52.71695337
112,53.93803584
113,57.70744147
114,57.0758974
115,58.52828936
116,61.92609211
117,58.03758609
118,57.68021617
119,59.77716128
120,51.92625011
121,53.90823794
122,58.76989079
123,56.11292339
124,58.20605291
125,53.67514141
126,55.61611347
127,48.75387338
128,51.18123978
129,51.8612055
130,49.76213803
131,47.70818436
132,54.30124785
133,54.69247602
134,58.98176074
135,49.74634904
136,57.80192727
137,63.34506701
138,54.32529537
139,59.12117891
140,57.17841286
141,57.98423089
142,55.62292841
143,59.60246135
144,62.12209638
145,60.91855879
146,58.07762583
147,53.24016935
148,61.63043501
149,57.10604822
150,53.72820628
151,57.13695098
152,56.78361504
153,60.03626801
154,55.15887116
155,61.1414447
156,62.50173905
157,62.52230955
158,56.31412059
159,53.57952253
160,56.13826665
161,54.1752962
162,53.22870192
163,55.67254322
164,54.97413405
165,54.6389147
166,57.15709117
167,53.47295922
168,50.29610978
169,58.18272154
170,59.54073292
171,61.6277036
172,59.26825105
173,57.19334417
174,56.77803423
175,52.71612804
176,53.71056722
177,55.07788242
178,59.23336895
179,54.28596029
180,60.02090867
181,56.7539756
182,53.34878271
183,57.08197851
184,55.53485582
185,53.61984916
186,52.82167635
187,56.20955132
188,60.49326026
189,61.09328617
190,53.05556622
191,49.1828294
192,59.71508118
193,65.01332284
194,63.20759059
195,59.71386376
196,58.04608348
197,50.15011378
198,53.28070428
199,54.26082419
200,55.35522174
201,58.99079549
202,61.40286609
203,61.51315542
204,56.10137407
205,54.5504542
206,55.05844701
207,48.95437653
208,58.86517568
209,56.02926084
210,58.33143284
211,60.74277424
212,58.83475326
213,59.1152251
214,55.26227701
215,60.29699495
216,58.18846982
217,56.71202734
218,57.5932615
219,60.34117724
220,58.45454447
221,59.40546098
222,56.265044
223,59.20162592
224,57.30167833
225,58.51129092
226,58.15033414
227,57.02966201
228,66.12443692
229,65.34265443
230,58.87515749
231,59.57281868
232,57.62917552
233,58.54919244
234,60.43081941
235,63.33186983
236,62.40452774
237,58.88354585
238,59.79159331
239,59.06433497
240,56.96748397
241,52.72873004
242,52.70584788
243,62.99554795
244,53.11616257
245,52.78981185
246,64.99226561
247,58.68831029
248,50.83664172
249,65.08859497
250,65.82022791
251,59.4651438
252,55.87105453
253,57.16085215
254,64.99186084
255,64.85820938
256,73.27329139
257,61.61398981
258,58.9994216
259,58.10595334
260,61.56349378
261,50.71723815
262,55.58700977
263,54.24655143
264,58.95083734
265,58.71313675
266,61.45542006
267,58.64897356
268,58.66831296
269,59.75427299
270,59.720596
271,57.69543138
272,56.31252636
273,59.49429432
274,59.69496336
275,58.14400083
276,58.34676592
277,51.8077809
278,50.01386595
279,43.29855841
280,53.16140249
281,53.65763886
282,53.26472341
283,50.39111653
284,50.05452498
285,53.0772744
286,48.5287299
287,49.89360376
288,43.10175719
289,50.42427744
290,51.43419611
291,52.36288107
292,48.00471639
293,51.35358433
294,50.10302215
295,49.01162887
296,51.59213591
297,47.91309824
298,53.37396005
299,48.88884462
300,46.05691504
301,46.4386561
302,53.70965193
303,49.48140908
304,46.1098704
305,44.85772458
306,46.74130096
307,48.61998406
308,46.82910715
309,47.95146862
310,56.11179268
311,51.12914167
312,49.35658214
313,49.21134294
314,53.93945226
315,50.77947897
316,54.25534166
317,51.70443046
318,51.24977439
319,47.53617429
320,53.25144198
321,52.93542155
322,56.51082463
323,48.45699468
324,47.12142495
325,46.22973419
326,51.20508992
327,52.58727498
328,53.02642802
329,48.9507546
330,54.75374482
331,51.64462224
332,56.16491525
333,52.25992235
334,54.21145756
335,52.86311616
336,54.41964791
337,53.84719543
338,56.39599065
339,55.49163987
340,55.14122544
341,57.98173313
342,54.34674568
343,53.45694191
344,54.27709089
345,54.15308829
346,53.95082417
347,56.15094431
348,57.00931
349,54.36538016
350,54.83392442
351,51.57377477
352,51.92748599
353,58.60646423
354,55.1393812
355,44.37295572
356,54.81227328
357,56.09098014
358,53.74873507
359,58.11498198
360,49.29460459
361,49.91297039
362,38.88106022
363,60.39675013
364,54.33299623
365,52.32122706
366,56.13424129
367,49.23170417
368,48.53458745
