RIL,Yield_blup
DS11-02002,3597.377191
DS11-02003,3431.40324
DS11-02004,3737.945002
DS11-02005,3833.923754
DS11-02006,3623.296587
DS11-02007,3774.45029
DS11-02008,3805.823023
DS11-02014,3375.009307
DS11-02016,3666.794978
DS11-02017,3505.247854
DS11-02019,3713.565373
DS11-02021,3669.746197
DS11-02022,3653.514496
DS11-02023,3818.141152
DS11-02024,3546.179969
DS11-02025,3438.396344
DS11-02026,3779.967785
DS11-02027,3777.78645
DS11-02029,3631.380359
DS11-02030,3588.331065
DS11-02031,3586.14973
DS11-02032,3464.828995
DS11-02033,3667.757332
DS11-02035,3567.60838
DS11-02036,3464.50821
DS11-02037,3550.478483
DS11-02038,3641.77378
DS11-02039,3899.556283
DS11-02040,3886.789056
DS11-02042,3594.746757
DS11-02043,3772.140641
DS11-02044,3807.940202
DS11-02045,3894.465115
DS11-02046,3924.33772
DS11-02047,3734.456003
DS11-02049,3949.522868
DS11-02051,3978.442092
DS11-02053,3923.781581
DS11-02054,3536.232203
DS11-02055,3980.03106
DS11-02056,3950.237904
DS11-02057,3519.786381
DS11-02059,3728.974063
DS11-02060,3953.574737
DS11-02061,3721.426463
DS11-02063,3979.236576
DS11-02064,3630.299129
DS11-02065,3903.76058
DS11-02066,3712.52824
DS11-02067,3986.307485
DS11-02068,4007.679109
DS11-02069,3957.626606
DS11-02070,3850.371244
DS11-02071,3623.625462
DS11-02072,3880.958884
DS11-02073,3988.214247
DS11-02074,3961.678476
DS11-02075,3990.121009
DS11-02076,3958.421091
DS11-02078,3889.777658
DS11-02079,4064.008037
DS11-02080,3794.598455
DS11-02081,4052.090774
DS11-02083,3935.460498
DS11-02084,3843.300335
DS11-02086,3892.637801
DS11-02089,4052.329119
DS11-02091,3514.513268
DS11-02093,3608.687294
DS11-02094,3600.658415
DS11-02095,3765.203203
DS11-02096,3728.459275
DS11-02098,3719.674737
DS11-02099,3315.491529
DS11-02102,3782.392599
DS11-02107,3881.039478
DS11-02108,3836.937505
DS11-02113,3754.947536
DS11-02115,3861.793412
DS11-02118,3764.354806
DS11-02120,3855.406825
DS11-02121,3824.941078
DS11-02123,3663.463991
DS11-02127,3801.724971
DS11-02129,3608.041192
DS11-02131,3749.510306
DS11-02132,3596.663742
DS11-02133,3788.779186
DS11-02135,3979.858968
DS11-02136,3977.356116
DS11-02140,3692.203633
DS11-02141,4028.448813
DS11-02142,3601.324225
DS11-02143,3769.360509
DS11-02149,3852.127226
DS11-02150,3739.668053
DS11-02151,3882.765583
DS11-02152,3766.598742
DS11-02154,3861.707106
DS11-02155,3703.595924
DS11-02156,3664.322702
DS11-02157,3626.25637
DS11-02158,3490.426631
DS11-02159,3359.886506
DS11-02161,3490.804461
DS11-02162,3608.876209
DS11-02163,3572.793482
DS11-02164,3728.64819
DS11-02165,3355.730381
DS11-02166,3690.676316
DS11-02167,3650.437464
DS11-02168,3681.79732
DS11-02169,3718.446791
DS11-02171,3036.181002
DS11-02173,3818.760548
DS11-02174,3730.82071
DS11-02176,3209.888158
DS11-02177,3598.108065
DS11-02178,3716.557643
DS11-02180,3356.013753
DS11-02181,3650.720836
DS11-02182,3574.588173
DS11-02183,3597.257949
DS11-02186,3735.92141
DS11-02187,3845.680907
DS11-02188,3632.585016
DS11-02190,3781.449876
DS11-02191,3830.095436
DS11-03003,4067.714946
DS11-03004,4084.863965
DS11-03005,4170.167453
DS11-03006,3782.732111
DS11-03007,4129.392533
DS11-03008,4104.88342
DS11-03009,3715.166449
DS11-03010,4077.724674
DS11-03011,3790.018604
DS11-03012,4148.74958
DS11-03013,3856.995458
DS11-03014,4176.717936
DS11-03015,4054.466777
DS11-03016,3675.716346
DS11-03017,3934.129242
DS11-03018,3541.17383
DS11-03019,3957.607942
DS11-03020,4153.828044
DS11-03021,3942.372547
DS11-03022,3832.118341
DS11-03023,3806.358012
DS11-03024,3891.587899
DS11-03025,3870.022824
DS11-03026,4034.152918
DS11-03027,3836.902402
DS11-03029,3917.863435
DS11-03030,3720.171313
DS11-03031,4274.16558
DS11-03032,4054.981984
DS11-03033,3921.249078
DS11-03034,3767.349515
DS11-03036,4144.775129
DS11-03037,4066.610932
DS11-03038,3792.005829
DS11-03039,3910.944946
DS11-03041,3886.14143
DS11-03044,3885.258219
DS11-03045,3830.425519
DS11-03047,4153.312838
DS11-03048,3832.04474
DS11-03050,3850.592176
DS11-03052,3981.675449
DS11-03053,3957.239937
DS11-03055,4169.284242
DS11-03057,4008.245387
DS11-03058,4100.835369
DS11-03059,3898.359186
DS11-03062,4040.261796
DS11-03064,4186.43326
DS11-03065,3797.893904
DS11-03066,4126.595697
DS11-03067,4068.156552
DS11-03070,3934.202843
DS11-03071,4158.685706
DS11-03072,4060.870059
DS11-03074,3997.205247
DS11-03075,4035.330533
DS11-03076,3761.976646
DS11-03077,3744.091618
DS11-03078,3917.863435
DS11-03079,4098.038533
DS11-03080,3952.676679
DS11-03081,4011.631031
DS11-03082,4043.794641
DS11-03083,4033.122505
DS11-03084,4036.581749
DS11-03085,3898.064782
DS11-03086,3802.383562
DS11-03088,4201.595054
DS11-03089,4166.119401
DS11-03104,3876.757391
DS11-03106,3975.465372
DS11-03108,3748.578701
DS11-03109,3817.815974
DS11-03110,3857.582539
DS11-03111,3889.792512
DS11-03112,3712.401517
DS11-03113,3830.378808
DS11-03115,3794.579454
DS11-03116,3758.40227
DS11-03119,3808.559149
DS11-03120,3610.859814
DS11-03122,3880.630144
DS11-03123,3994.262394
DS11-03124,3511.490631
DS11-03126,4019.010233
DS11-03128,4052.637067
DS11-03129,3831.417839
DS11-03130,3760.196961
DS11-03131,3762.747311
DS11-03132,4100.715883
DS11-03133,3730.537338
DS11-03134,4014.098448
DS11-03135,3895.932243
DS11-03138,3809.314808
DS11-03142,3902.071974
DS11-03143,3799.113409
DS11-03144,3740.26645
DS11-03145,3912.36783
DS11-03147,3750.562306
DS11-03148,4144.921945
DS11-03149,3809.787095
DS11-03151,3936.360009
DS11-03154,3977.826807
DS11-03157,3728.931562
DS11-03158,3734.29393
DS11-03160,4085.217588
DS11-03161,4122.081653
DS11-03162,4012.522286
DS11-03163,4072.108599
DS11-03164,3724.362004
DS11-03165,3707.459975
DS11-03166,3747.561816
DS11-03168,3989.641142
DS11-03169,3997.585984
DS11-03170,4258.176791
DS11-03171,4050.339733
DS11-03172,4043.268824
DS11-03173,4009.582695
DS11-03174,4162.044207
DS11-03175,4196.445371
DS11-03176,3827.16913
DS11-03177,3944.752787
DS11-03178,3787.637535
DS11-03180,3879.207843
DS11-03181,3908.44486
DS11-03183,3996.394258
DS11-03185,4013.714013
DS11-03186,4165.142695
DS11-03188,3807.227577
DS11-03189,3982.490785
DS11-03190,3910.510519
DS11-03195,3863.635953
DS11-03196,4011.251112
DS11-03197,3759.240733
DS11-03198,3825.341816
DS11-03199,3846.633992
DS11-03200,3643.643287
DS11-03202,4037.389641
DS11-03203,3867.846719
DS11-04002,3963.716819
DS11-04003,3711.265599
DS11-04006,3570.393402
DS11-04007,3919.261852
DS11-04008,3805.327599
DS11-04009,3726.059388
DS11-04010,3766.907909
DS11-04012,3599.392172
DS11-04013,3771.103163
DS11-04015,3771.250364
DS11-04016,3680.500407
DS11-04017,3739.601961
DS11-04023,3719.656106
DS11-04027,3546.178693
DS11-04028,3877.677322
DS11-04029,3585.775999
DS11-04030,3781.039289
DS11-04032,3650.618426
DS11-04033,3715.902458
DS11-04035,3794.213857
DS11-04036,3798.997918
DS11-04037,3957.313538
DS11-04039,3598.508961
DS11-04040,3895.709552
DS11-04041,3818.943773
DS11-04043,3473.608168
DS11-04044,3758.443801
DS11-04045,3846.838529
DS11-04047,3692.49736
DS11-04048,3723.041749
DS11-04049,3890.85189
DS11-04050,3788.620186
DS11-04051,3563.990121
DS11-04052,3414.580215
DS11-04053,3630.230966
DS11-04054,3928.167566
DS11-04055,4029.368857
DS11-04056,4075.001439
DS11-04058,3806.358012
DS11-04059,3983.809876
DS11-04060,3810.332463
DS11-04061,3981.749049
DS11-04062,3709.499177
DS11-04063,4041.660214
DS11-04064,3913.962585
DS11-04068,3740.853177
DS11-04069,3797.5259
DS11-04072,3694.778989
DS11-04073,3820.489392
DS11-04074,4009.938209
DS11-04075,3936.778876
DS11-04078,3942.151744
DS11-04079,3889.085467
DS11-04080,3970.708909
DS11-04082,3763.227862
DS11-04084,3717.080073
DS11-04085,3943.40296
DS11-04089,3850.150571
DS11-04090,3832.85435
DS11-04091,3772.427979
DS11-04092,3885.479021
DS11-04094,3780.965688
DS11-04095,4026.49842
DS11-04096,3859.645092
DS11-04097,3786.117754
DS11-04098,3741.294782
DS11-04099,3836.828801
DS11-04100,3894.237533
DS11-04101,3998.898068
DS11-04104,3606.605064
DS11-04112,3818.855005
DS11-04114,3856.637965
DS11-04115,3671.595921
DS11-04116,3771.626306
DS11-04119,3617.566289
DS11-04120,3947.978269
DS11-04121,3693.41558
DS11-04122,3691.715347
DS11-04124,3679.719258
DS11-04127,3590.173644
DS11-04129,4199.612779
DS11-04130,3809.220351
DS11-04132,3931.542682
DS11-04133,3871.089947
DS11-04135,3799.869068
DS11-04137,3794.768369
DS11-04138,3595.179886
DS11-04140,3641.275096
DS11-04142,3724.114235
DS11-04143,3753.868315
DS11-04145,3880.0634
DS11-04146,3649.020603
DS11-04147,3661.300065
DS11-04148,3822.633301
DS11-04149,3875.434987
DS11-04150,3753.962773
DS11-04152,3631.451527
DS11-04153,3704.939383
DS11-04155,3823.483418
DS11-04156,3647.509285
DS11-04157,3622.194702
DS11-04158,3615.582684
DS11-04160,3711.645858
DS11-04162,3770.587275
DS11-04163,3716.841015
DS11-04164,3898.784875
DS11-04165,4024.445292
DS11-04167,3744.902649
DS11-04168,4141.475185
DS11-04169,3595.421989
DS11-04170,3885.839091
DS11-04171,3863.05451
DS11-04172,3909.573029
DS11-04173,3845.016717
DS11-04174,4103.328273
DS11-04175,3958.680706
DS11-04177,4033.421036
DS11-04178,3464.324343
DS11-04179,3880.401861
DS11-04181,3965.326208
DS11-04184,4045.072242
DS11-04185,3787.882654
DS11-04187,3802.036712
DS11-04191,3449.997675
DS11-04192,4011.326896
DS11-04194,3659.201554
DS11-04195,4078.21345
DS11-04201,3680.864167
DS11-04204,3963.254883
DS11-04205,3959.975284
DS11-04206,4082.010881
DS11-04207,3837.162941
DS11-04208,3768.722892
DS11-04211,3823.181493
DS11-04212,3905.775599
DS11-04213,3611.388457
DS11-04214,3736.358431
DS11-04222,3747.060279
DS11-04223,3808.078078
DS11-04225,3771.829881
DS11-05001,3795.17067
DS11-05002,3823.359829
DS11-05004,3845.881716
DS11-05005,4167.297016
DS11-05006,4020.904749
DS11-05007,4099.731354
DS11-05008,3803.85558
DS11-05009,3797.820303
DS11-05010,4046.304714
DS11-05011,3847.445327
DS11-05012,3689.258919
DS11-05013,3626.419831
DS11-05015,3821.961411
DS11-05016,3975.272167
